,x,y,labels
0,8.58617877960205,-11.669583320617676,9
1,7.289409637451172,-30.61977767944336,0
2,-5.939888000488281,1.9177888631820679,0
3,-23.646440505981445,-3.2733683586120605,3
4,-26.207365036010742,-7.717354774475098,0
5,-10.21543025970459,23.961374282836914,2
6,26.277446746826172,0.5180457830429077,7
7,-7.197259426116943,22.45533561706543,2
8,10.099374771118164,-3.020487070083618,5
9,11.621384620666504,-5.0110883712768555,5
10,4.690210342407227,-29.78055763244629,0
11,3.250732660293579,-6.793683052062988,9
12,18.907772064208984,-6.376573085784912,5
13,24.718782424926758,-3.804753541946411,5
14,28.698427200317383,-1.325657606124878,7
15,11.975577354431152,-13.888731002807617,9
16,-2.4744229316711426,-0.6828985810279846,1
17,4.381491661071777,-30.341257095336914,0
18,-10.275590896606445,17.640138626098633,6
19,-6.311808109283447,9.260103225708008,4
20,-27.439857482910156,-9.826979637145996,3
21,4.10619592666626,13.85362434387207,1
22,-14.208385467529297,10.446218490600586,4
23,-5.781674385070801,-23.56419563293457,8
24,-18.125411987304688,15.079716682434082,4
25,-16.51033592224121,-2.4448602199554443,3
26,-23.462135314941406,5.204678058624268,0
27,-9.513602256774902,23.853620529174805,2
28,-12.15622329711914,13.09496784210205,4
29,-14.30000114440918,20.889808654785156,4
30,30.272125244140625,-7.630185604095459,5
31,-21.987247467041016,-7.8042731285095215,3
32,-13.981467247009277,18.01317596435547,6
33,-3.98564076423645,8.520712852478027,6
34,-6.518282413482666,3.736051559448242,0
35,19.159639358520508,22.50295066833496,8
36,8.783012390136719,-5.758468151092529,5
37,-7.562473297119141,14.501179695129395,2
38,4.522336959838867,6.773305416107178,1
39,-19.147438049316406,16.324552536010742,6
40,-13.948498725891113,19.10517692565918,6
41,21.84491539001465,-10.425996780395508,7
42,13.568402290344238,-15.017565727233887,9
43,22.060047149658203,-3.9529051780700684,5
44,3.166645050048828,-10.624571800231934,9
45,-9.985509872436523,15.901830673217773,2
46,25.5792293548584,1.4529558420181274,7
47,-14.259360313415527,-3.0599350929260254,3
48,6.708113670349121,-29.09076690673828,0
49,-15.518896102905273,0.3938482999801636,3
50,-25.013639450073242,-11.594209671020508,3
